name,github_slug,main_repo,homepage,language,domains,loc_estimate,fuzzing_engines,sanitizers,fuzz_target_count,has_dockerfile,has_asan,has_coverage,build_system,quality_score,apt_packages,nvd_cve_count,nvd_mean_cvss,nvd_cwes,github_stars
firefox,,https://hg.mozilla.org/mozilla-central/,https://www.mozilla.org/firefox/,c++,uncategorized,,libfuzzer,address,10,Yes,Yes,Yes,cargo,3,software-properties-common | cmake | gawk | git | libstdc++6 | nasm | python | python3-pip | python3-setuptools | python3-wheel | libasound2 | libatk1.0-0 | libc6 | libcairo-gobject2 | libcairo2 | libdbus-1-3 | libdbus-glib-1-2 | libffi7 | libfontconfig1 | libfreetype6 | libgcc-s1 | libgdk-pixbuf2.0-0 | libglib2.0-0 | libgtk-3-0 | libharfbuzz0b | libpango-1.0-0 | libpangocairo-1.0-0 | libpangoft2-1.0-0 | libx11-6 | libx11-xcb1 | libxcb-shm0 | libxcb1 | libxcomposite1 | libxcursor1 | libxdamage1 | libxext6 | libxfixes3 | libxi6 | libxrandr2 | libxrender1 | libxt6 | libxtst6 | lsb-release | libcanberra0 | libdbusmenu-glib4 | libdbusmenu-gtk3-4,1718,7.04,CWE-264 | CWE-59 | CWE-94 | CWE-20 | CWE-399 | CWE-189 | CWE-79 | CWE-119 | CWE-88 | CWE-200,
gateway,envoyproxy/gateway,https://github.com/envoyproxy/gateway.git,https://gateway.envoyproxy.io/,go,database,143615,libfuzzer,address,0,Yes,Yes,No,,2,btrfs-progs | libbtrfs-dev,1193,6.53,CWE-119 | CWE-16 | CWE-312 | CWE-200 | CWE-310 | CWE-264 | CWE-287 | CWE-22 | CWE-79 | CWE-20,2574
php,php/php-src,https://github.com/php/php-src.git,http://php.net/,c++,language-runtime,2395544,afl | honggfuzz | libfuzzer,address | undefined | memory,4,Yes,Yes,No,make,2,autoconf | automake | libtool | bison | re2c | pkg-config,1031,6.11,CWE-88 | CWE-665 | CWE-264 | CWE-425 | CWE-312 | CWE-178 | CWE-94 | CWE-79 | CWE-200 | CWE-399,39972
git,git/git,https://github.com/git/git,https://git-scm.com,c++,data-parsing | crypto | networking,496135,libfuzzer | afl,,0,Yes,No,No,make,1,cvs | cvsps | gettext | libcgi-pm-perl | libcurl4-gnutls-dev | libdbd-sqlite3-perl | liberror-perl | libexpat1-dev | libhttp-date-perl | libio-pty-perl | libmailtools-perl | libpcre2-dev | libpcre3-dev | libsvn-perl | perl-modules | libyaml-perl | libz-dev | python | subversion | tcl | unzip | asciidoc | docbook-xsl | xmlto | libssl-dev | zip,969,5.61,CWE-119 | CWE-94 | CWE-78 | CWE-264 | CWE-399 | CWE-20 | CWE-787 | CWE-79 | CWE-22 | CWE-913,59777
lit,lit/lit,https://github.com/lit/lit,https://lit.dev/,javascript,web-runtime,125312,libfuzzer,none,0,Yes,No,No,make,1,,894,6.42,CWE-178 | CWE-200 | CWE-20 | CWE-94 | CWE-89 | CWE-119 | CWE-79 | CWE-134 | CWE-22 | CWE-352,21326
expr,expr-lang/expr,https://github.com/expr-lang/expr.git,https://github.com/expr-lang/expr,go,uncategorized,24780,libfuzzer,address,0,Yes,Yes,No,,2,,725,6.4,CWE-295 | CWE-264 | CWE-200 | CWE-255 | CWE-434 | CWE-399 | CWE-119 | CWE-89 | CWE-79 | CWE-310,7738
imagemagick,imagemagick/imagemagick,https://github.com/imagemagick/imagemagick,https://www.imagemagick.org,c++,image-parsing,851867,,address | memory | undefined,0,Yes,Yes,No,,2,make | autoconf | automake | groff | libtool | pkg-config | cmake | nasm | autopoint,707,6.11,CWE-134 | CWE-189 | CWE-119 | CWE-399 | CWE-681 | CWE-20 | CWE-835 | CWE-125 | CWE-400 | CWE-190,15957
wireshark,,https://gitlab.com/wireshark/wireshark,https://www.wireshark.org,c++,crypto | networking,,libfuzzer | honggfuzz | afl,,0,Yes,No,No,cmake,1,ninja-build | cmake | flex | libc-ares-dev | libglib2.0-dev | libgcrypt20-dev,690,5.63,CWE-399 | CWE-134 | CWE-189 | CWE-193 | CWE-617 | CWE-20 | CWE-119 | CWE-264 | CWE-200 | CWE-835,
xen,,https://xenbits.xen.org/git-http/xen.git,https://xenproject.org,c,uncategorized,,libfuzzer,address | undefined,0,Yes,Yes,No,,2,,564,5.99,CWE-264 | CWE-787 | CWE-20 | CWE-59 | CWE-119 | CWE-79 | CWE-399 | CWE-89 | CWE-352 | CWE-94,
qemu,,https://git.qemu.org/git/qemu.git,https://www.qemu.org/,c,compression,,libfuzzer,address | undefined,0,Yes,Yes,No,,2,make | autoconf | automake | libtool | ninja-build | libfdt-dev | libpixman-1-dev | zlib1g-dev | libslirp-dev | patchelf | libattr1 | libattr1-dev | libcap-ng-dev | pkg-config,550,5.16,CWE-264 | CWE-787 | CWE-119 | CWE-200 | CWE-59 | CWE-399 | CWE-189 | CWE-416 | CWE-20 | CWE-287,
flex,westes/flex,https://github.com/westes/flex,https://github.com/westes/flex,c,system,17973,afl | honggfuzz | libfuzzer,,2,Yes,No,No,make,1,make | autoconf | automake | libtool | gettext | help2man | bison | autopoint | lzip | texinfo | texlive | flex,542,6.21,CWE-119 | CWE-89 | CWE-79 | CWE-94 | CWE-20 | CWE-200 | CWE-22 | CWE-287 | CWE-264 | CWE-352,3991
ruby,ruby/ruby,https://github.com/ruby/ruby,https://www.ruby-lang.org/en/,c++,data-parsing | crypto | compression | language-runtime,1190813,afl | honggfuzz | libfuzzer,address | undefined,4,Yes,Yes,No,make,2,libssl-dev | libyaml-dev | zlib1g-dev | ruby | ruby-dev | autoconf | automake | libtool | bison,513,6.52,CWE-94 | CWE-399 | CWE-79 | CWE-287 | CWE-200 | CWE-362 | CWE-134 | CWE-22 | CWE-189 | CWE-190,23519
ffmpeg,FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,https://www.ffmpeg.org,c++,media-codec,1614264,afl | honggfuzz | libfuzzer,address,2,Yes,Yes,No,make,2,nasm | pkg-config | rsync | libtool | gperf,488,6.87,CWE-119 | CWE-20 | CWE-399 | CWE-189 | CWE-94 | CWE-191 | CWE-120 | CWE-17 | CWE-362 | CWE-200,58042
tensorflow,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,https://www.tensorflow.org,c++,uncategorized,3844674,libfuzzer,fuzzer,0,Yes,No,Yes,make,1,rsync,436,4.76,CWE-476 | CWE-119 | CWE-20 | CWE-190 | CWE-122 | CWE-681 | CWE-754 | CWE-125 | CWE-252 | CWE-908,194227
qt,,git://code.qt.io/qt/qt5.git,http://qt-project.org,c++,crypto,,honggfuzz | libfuzzer,,0,Yes,No,No,,1,libssl-dev | ninja-build,411,6.47,CWE-189 | CWE-89 | CWE-119 | CWE-20 | CWE-94 | CWE-79 | CWE-787 | CWE-264 | CWE-200 | CWE-310,
unit,nginx/unit,https://github.com/nginx/unit,https://unit.nginx.org,c,uncategorized,108264,libfuzzer | afl | honggfuzz,address | memory | undefined,0,Yes,Yes,No,,2,,401,6.69,CWE-79 | CWE-255 | CWE-94 | CWE-287 | CWE-399 | CWE-264 | CWE-119 | CWE-310 | CWE-20 | CWE-352,5560
gpac,gpac/gpac,https://github.com/gpac/gpac,https://gpac.io,c,uncategorized,727153,,,0,Yes,No,No,make,1,build-essential | pkg-config | libz-dev,370,6.03,CWE-119 | CWE-125 | CWE-787 | CWE-476 | CWE-401 | CWE-416 | CWE-763 | CWE-120 | CWE-190 | CWE-680,3219
hcl,hashicorp/hcl,https://github.com/hashicorp/hcl,https://github.com/hashicorp/hcl,go,uncategorized,39123,libfuzzer,address,6,Yes,Yes,No,,2,,318,5.44,CWE-20 | CWE-611 | CWE-79 | CWE-798 | CWE-532 | CWE-307 | CWE-601 | CWE-319 | CWE-120 | CWE-352,5807
openssl,openssl/openssl,https://github.com/openssl/openssl.git,https://www.openssl.org/,c++,crypto,865613,afl | honggfuzz | libfuzzer,address | memory | undefined,3,Yes,Yes,Yes,make,3,make,318,5.98,CWE-384 | CWE-203 | CWE-415 | CWE-476 | CWE-125 | CWE-327 | CWE-310 | CWE-399 | CWE-119 | CWE-189,29786
black,psf/black,https://github.com/psf/black,https://github.com/psf/black,python,uncategorized,113198,libfuzzer,address,0,Yes,Yes,No,,2,,312,6.2,CWE-732 | CWE-601 | CWE-119 | CWE-399 | CWE-79 | CWE-20 | CWE-264 | CWE-89 | CWE-287 | CWE-94,41434
lotus,filecoin-project/lotus,https://github.com/filecoin-project/lotus,https://github.com/filecoin-project/lotus,go,uncategorized,177722,libfuzzer,address,0,Yes,Yes,No,,2,mesa-opencl-icd | ocl-icd-opencl-dev | gcc | git | bzr | pkg-config | clang | build-essential | hwloc | libhwloc-dev,296,6.26,CWE-203 | CWE-200 | CWE-88 | CWE-264 | CWE-119 | CWE-22 | CWE-79 | CWE-732 | CWE-310 | CWE-94,2999
tor,,https://git.torproject.org/tor.git,https://www.torproject.org,c++,uncategorized,,libfuzzer | afl,address | memory | undefined,0,Yes,Yes,No,cmake,2,autoconf | automake | make | libtool | pkg-config,291,6.11,CWE-79 | CWE-264 | CWE-20 | CWE-22 | CWE-89 | CWE-352 | CWE-330 | CWE-399 | CWE-16 | CWE-94,
json,nlohmann/json,https://github.com/nlohmann/json.git,https://github.com/nlohmann/json,c++,uncategorized,102926,afl | honggfuzz | libfuzzer,address | undefined | memory,0,Yes,Yes,No,cmake,2,binutils | make,262,6.94,CWE-20 | CWE-119 | CWE-310 | CWE-327 | CWE-347 | CWE-415 | CWE-125 | CWE-400 | CWE-121 | CWE-787,49165
binutils,bminor/binutils-gdb,https://github.com/bminor/binutils-gdb,https://www.gnu.org/software/binutils/,c++,system,,libfuzzer | honggfuzz | centipede,address | undefined | memory,7,Yes,Yes,No,make,2,make | texinfo | libgmp-dev | libmpfr-dev | flex | bison,260,5.69,CWE-119 | CWE-787 | CWE-189 | CWE-94 | CWE-22 | CWE-416 | CWE-125 | CWE-476 | CWE-20 | CWE-772,
libtiff,,https://gitlab.com/libtiff/libtiff,http://www.libtiff.org,c++,image-parsing,,afl | honggfuzz | libfuzzer,address | undefined,0,Yes,Yes,No,,2,make | autoconf | automake | libtool | cmake | nasm,258,6.17,CWE-369 | CWE-119 | CWE-189 | CWE-20 | CWE-399 | CWE-254 | CWE-787 | CWE-125 | CWE-190 | CWE-476,
tomcat,apache/tomcat,https://github.com/apache/tomcat,https://github.com/apache/tomcat,jvm,uncategorized,500918,libfuzzer,address,2,Yes,Yes,No,,2,openjdk-21-jdk,256,5.91,CWE-254 | CWE-119 | CWE-200 | CWE-79 | CWE-22 | CWE-352 | CWE-264 | CWE-16 | CWE-20 | CWE-255,8119
h3,uber/h3,https://github.com/uber/h3,https://github.com/uber/h3,c,uncategorized,34160,,address | undefined | memory,0,Yes,Yes,No,cmake,2,make | autoconf | automake | libtool | pkg-config,246,7.82,CWE-79 | CWE-264 | CWE-310 | CWE-89 | CWE-522 | CWE-732 | CWE-787 | CWE-77 | CWE-78 | CWE-269,6107
click,pallets/click,https://github.com/pallets/click,https://github.com/pallets/click,python,uncategorized,14266,libfuzzer,address | undefined,0,Yes,Yes,No,,2,,243,6.28,CWE-326 | CWE-255 | CWE-94 | CWE-79 | CWE-89 | CWE-22 | CWE-20 | CWE-287 | CWE-352 | CWE-310,17336
samba,,https://git.samba.org/samba.git,https://samba.org,c,uncategorized,,libfuzzer | honggfuzz,address | undefined,0,Yes,Yes,No,,2,,239,5.93,CWE-119 | CWE-134 | CWE-269 | CWE-264 | CWE-732 | CWE-200 | CWE-20 | CWE-835 | CWE-59 | CWE-22,
postgresql,,https://git.postgresql.org/git/postgresql,https://postgresql.org,c,compression | font-rendering | database,,libfuzzer | honggfuzz,address,0,Yes,Yes,No,make,2,make | libreadline-dev | zlib1g-dev | bison | flex | pkg-config | libicu-dev,225,6.53,CWE-916 | CWE-119 | CWE-94 | CWE-264 | CWE-189 | CWE-399 | CWE-287 | CWE-310 | CWE-20 | CWE-295,
sonic,bytedance/sonic,https://github.com/bytedance/sonic.git,https://github.com/bytedance/sonic,go,uncategorized,139883,libfuzzer,address | memory,0,No,Yes,No,,0,,214,7.11,CWE-79 | CWE-399 | CWE-20 | CWE-119 | CWE-22 | CWE-134 | CWE-284 | CWE-264 | CWE-89 | CWE-287,9288
libra,libra/libra,https://github.com/libra/libra,https://github.com/libra/libra,rust,blockchain,415129,libfuzzer,address,0,Yes,Yes,Yes,cargo,2,cmake,208,6.56,CWE-119 | CWE-120 | CWE-189 | CWE-399 | CWE-362 | CWE-94 | CWE-20 | CWE-22 | CWE-264 | CWE-287,16698
zip,kuba--/zip,https://github.com/kuba--/zip.git,https://github.com/kuba--/zip,c,uncategorized,12073,libfuzzer | afl | honggfuzz,,0,Yes,No,No,,1,cmake | make,207,6.34,CWE-255 | CWE-119 | CWE-94 | CWE-264 | CWE-89 | CWE-189 | CWE-310 | CWE-22 | CWE-399 | CWE-787,1572
django,django/django,https://github.com/django/django.git,https://www.djangoproject.com/,python,crypto | compression | database | web-framework,404569,libfuzzer,address | undefined,0,Yes,Yes,No,make,2,build-essential | zlib1g-dev | libncurses5-dev | libgdbm-dev | libnss3-dev | libssl-dev | libreadline-dev | libffi-dev | libsqlite3-dev | libbz2-dev | liblzma-dev,202,6.1,CWE-399 | CWE-352 | CWE-79 | CWE-22 | CWE-264 | CWE-20 | CWE-119 | CWE-200 | CWE-189 | CWE-287,87076
kubernetes,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes.git,https://kubernetes.io,go,cloud-infra,1864757,libfuzzer,address,0,Yes,Yes,No,,2,,197,6.14,CWE-284 | CWE-200 | CWE-862 | CWE-264 | CWE-59 | CWE-269 | CWE-20 | CWE-522 | CWE-295 | CWE-352,121221
glib,,https://gitlab.gnome.org/GNOME/glib,https://gitlab.gnome.org/GNOME/glib/,c++,uncategorized,,,address | memory | undefined,0,Yes,Yes,No,make,2,autoconf | automake | libtool | pkg-config | python3-pip,186,6.24,CWE-189 | CWE-732 | CWE-255 | CWE-20 | CWE-200 | CWE-59 | CWE-264 | CWE-399 | CWE-16 | CWE-310,
pip,pypa/pip,https://github.com/pypa/pip,https://github.com/pypa/pip,python,uncategorized,123602,libfuzzer,address,1,Yes,Yes,No,pip,2,,183,6.73,CWE-119 | CWE-20 | CWE-59 | CWE-310 | CWE-276 | CWE-732 | CWE-200 | CWE-862 | CWE-79 | CWE-502,10168
time,facebook/time,https://github.com/facebook/time,https://opensource.fb.com,go,uncategorized,38804,libfuzzer,address,0,Yes,Yes,No,,2,,179,6.36,CWE-89 | CWE-134 | CWE-119 | CWE-79 | CWE-22 | CWE-94 | CWE-732 | CWE-352 | CWE-264 | CWE-255,643
fabric,hyperledger/fabric,https://github.com/hyperledger/fabric,https://www.hyperledger.org,go,uncategorized,256766,libfuzzer,address,0,Yes,Yes,Yes,,2,,175,6.61,CWE-59 | CWE-200 | CWE-79 | CWE-399 | CWE-119 | CWE-285 | CWE-264 | CWE-20 | CWE-611 | CWE-384,16603
xpdf,,,https://www.xpdfreader.com/,c++,uncategorized,,afl | honggfuzz | libfuzzer,address,1,Yes,Yes,No,cmake,2,make | cmake | qtbase5-dev | libcups2-dev | autoconf | automake | autotools-dev | libtool,175,5.84,CWE-20 | CWE-119 | CWE-189 | CWE-399 | CWE-190 | CWE-94 | CWE-476 | CWE-172 | CWE-835 | CWE-125,
keycloak,keycloak/keycloak,https://github.com/keycloak/keycloak,https://www.keycloak.org/,jvm,uncategorized,972459,libfuzzer,address,0,Yes,Yes,No,,2,libxext6 | libxrender1 | libxtst6,168,5.86,CWE-253 | CWE-352 | CWE-444 | CWE-79 | CWE-613 | CWE-285 | CWE-287 | CWE-400 | CWE-377 | CWE-59,33434
ghostscript,,git://git.ghostscript.com/ghostpdl.git,https://ghostscript.com,c++,image-parsing,,libfuzzer | honggfuzz,address,17,Yes,Yes,No,make,2,autoconf | zlibc | libtool | liblcms2-dev | libpng-dev,167,6.52,CWE-59 | CWE-119 | CWE-189 | CWE-17 | CWE-200 | CWE-94 | CWE-416 | CWE-476 | CWE-369 | CWE-704,
smt,celestiaorg/smt,https://github.com/celestiaorg/smt,https://github.com/celestiaorg/smt,go,uncategorized,1507,libfuzzer,address,0,Yes,Yes,No,,2,,165,6.4,CWE-119 | CWE-310 | CWE-22 | CWE-20 | CWE-79 | CWE-91 | CWE-798 | CWE-522 | CWE-78 | CWE-755,142
cups,OpenPrinting/cups,https://github.com/OpenPrinting/cups,https://openprinting.github.io/cups/,c,compression | networking | system,176621,libfuzzer | afl | honggfuzz,address | memory,0,Yes,Yes,No,,2,zlib1g-dev | libavahi-client-dev | libsystemd-dev,164,6.64,CWE-178 | CWE-119 | CWE-189 | CWE-399 | CWE-190 | CWE-20 | CWE-264 | CWE-476 | CWE-255 | CWE-59,1547
ninja,ninja-build/ninja,https://github.com/ninja-build/ninja,https://github.com/ninja-build/ninja,c++,uncategorized,22640,afl | honggfuzz | libfuzzer,address | undefined | memory,0,Yes,Yes,No,,2,cmake,163,5.99,CWE-22 | CWE-264 | CWE-89 | CWE-79 | CWE-310 | CWE-20 | CWE-1236 | CWE-601 | CWE-434 | CWE-352,12760
qs,ljharb/qs,https://github.com/ljharb/qs.git,https://github.com/ljharb/qs,c++,uncategorized,3759,,,0,No,No,No,,0,,154,6.9,CWE-264 | CWE-89 | CWE-79 | CWE-20 | CWE-119 | CWE-426 | CWE-400 | CWE-399 | CWE-798 | CWE-477,8922
curl,curl/curl,https://github.com/curl/curl.git,https://curl.haxx.se/,c++,networking,228540,afl | honggfuzz | libfuzzer,address | undefined | memory,0,Yes,Yes,No,make,2,,153,6.15,CWE-131 | CWE-119 | CWE-189 | CWE-352 | CWE-310 | CWE-22 | CWE-255 | CWE-89 | CWE-94 | CWE-200,41151
freerdp,FreeRDP/FreeRDP,https://github.com/FreeRDP/FreeRDP,https://www.freerdp.com/,c,networking,439680,afl | centipede | honggfuzz | libfuzzer,address | undefined,0,Yes,Yes,No,cmake,2,devscripts | equivs | build-essential | git-core | cmake | ninja-build | pkg-config | ccache,149,6.17,CWE-189 | CWE-476 | CWE-787 | CWE-295 | CWE-190 | CWE-120 | CWE-680 | CWE-681 | CWE-126 | CWE-125,12954
face,mahmoud/face,https://github.com/mahmoud/face,https://github.com/mahmoud/face,python,uncategorized,3388,libfuzzer,address | undefined,0,Yes,Yes,No,,2,,140,6.75,CWE-119 | CWE-255 | CWE-89 | CWE-79 | CWE-352 | CWE-287 | CWE-22 | CWE-310 | CWE-94 | CWE-264,22
nginx,nginx/nginx,https://github.com/nginx/nginx,http://nginx.org,c,compression | networking,140115,afl | honggfuzz | libfuzzer,address,0,Yes,Yes,No,make,2,libpcre3-dev | zlib1g-dev | ninja-build | cmake | liblzma-dev | libz-dev | binutils | libtool,137,6.56,CWE-787 | CWE-119 | CWE-22 | CWE-200 | CWE-416 | CWE-120 | CWE-264 | CWE-116 | CWE-613 | CWE-77,29712
ansible,ansible/ansible,https://github.com/ansible/ansible,https://github.com/ansible/ansible,python,web-framework,235797,libfuzzer,address,3,Yes,Yes,Yes,pip,3,make | autoconf | automake | build-essential,136,5.55,CWE-264 | CWE-79 | CWE-200 | CWE-345 | CWE-59 | CWE-20 | CWE-94 | CWE-532 | CWE-266 | CWE-521,68304
hdf5,HDFGroup/hdf5,https://github.com/HDFGroup/hdf5,https://www.hdfgroup.org/solutions/hdf5/,c,compression,1372479,honggfuzz | libfuzzer,address | undefined | memory,3,Yes,Yes,No,cmake,2,make | autoconf | automake | libtool | pkg-config | cmake | zlib1g-dev,131,6.07,CWE-119 | CWE-787 | CWE-20 | CWE-476 | CWE-125 | CWE-369 | CWE-400 | CWE-772 | CWE-404 | CWE-674,913
ntp,,https://bitbucket.nwtime.org/pc/ntp.git,http://www.ntp.org,c++,uncategorized,,libfuzzer | honggfuzz,address | memory | undefined,0,Yes,Yes,No,make,2,make | autoconf | automake | libtool | bison | flex | rsync | lynx | lld,131,6.14,CWE-190 | CWE-287 | CWE-119 | CWE-20 | CWE-79 | CWE-17 | CWE-264 | CWE-362 | CWE-476 | CWE-19,
airflow,apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow,python,web-framework,1154192,libfuzzer,address,0,Yes,Yes,No,pip,2,sqlite3,128,6.75,CWE-79 | CWE-20 | CWE-352 | CWE-255 | CWE-295 | CWE-78 | CWE-502 | CWE-306 | CWE-1188 | CWE-1056,44697
date,HowardHinnant/date,https://github.com/HowardHinnant/date,https://howardhinnant.github.io/date/date.html,c++,uncategorized,26241,,,0,No,No,No,,0,,128,6.22,CWE-89 | CWE-94 | CWE-79 | CWE-426 | CWE-264 | CWE-352 | CWE-190 | CWE-400 | CWE-862 | CWE-863,3383
clamav,Cisco-Talos/clamav-devel,https://github.com/Cisco-Talos/clamav-devel.git,https://www.clamav.net/,c++,uncategorized,232176,libfuzzer | afl,address | undefined,0,Yes,Yes,No,cmake,2,flex | bison | python3-dev | pkg-config,127,6.34,CWE-772 | CWE-22 | CWE-78 | CWE-94 | CWE-189 | CWE-119 | CWE-59 | CWE-20 | CWE-399 | CWE-401,6370
vlc,videolan/vlc,https://github.com/videolan/vlc,https://github.com/videolan/vlc,c,uncategorized,811739,afl | honggfuzz | libfuzzer,address | undefined,1,Yes,Yes,Yes,make,2,make | autoconf | automake | libtool | pkg-config | cmake | flex | bison | gettext | libglu1-mesa-dev | ninja-build,127,7.07,CWE-134 | CWE-119 | CWE-20 | CWE-399 | CWE-189 | CWE-264 | CWE-89 | CWE-122 | CWE-125 | CWE-79,17874
ring,briansmith/ring,https://github.com/briansmith/ring,https://github.com/briansmith/ring,,uncategorized,58406,,address | memory | undefined,0,No,Yes,No,,0,,126,6.23,CWE-119 | CWE-22 | CWE-310 | CWE-255 | CWE-327 | CWE-862 | CWE-284 | CWE-125 | CWE-94 | CWE-352,4070
exiv2,Exiv2/exiv2,https://github.com/Exiv2/exiv2,https://www.exiv2.org,c++,uncategorized,114723,afl | honggfuzz | libfuzzer,address | undefined,4,Yes,Yes,No,cmake,2,,122,5.55,CWE-190 | CWE-189 | CWE-119 | CWE-369 | CWE-416 | CWE-125 | CWE-835 | CWE-20 | CWE-617 | CWE-787,1115
mariadb,MariaDB/server,https://github.com/MariaDB/server,https://mariadb.org/,c++,compression,1707822,,address,1,Yes,Yes,No,cmake,2,build-essential | libncurses5-dev | gnutls-dev | bison | zlib1g-dev | ccache,122,5.58,CWE-287 | CWE-119 | CWE-787 | CWE-16 | CWE-200 | CWE-89 | CWE-522 | CWE-254 | CWE-295 | CWE-264,7317
graphicsmagick,,https://foss.heptapod.net/graphicsmagick/graphicsmagick,http://www.graphicsmagick.org/,c++,image-parsing,,libfuzzer | honggfuzz | afl,address | memory | undefined,0,Yes,Yes,No,,2,mercurial | autoconf | autopoint | cmake | libtool | nasm | pkg-config | po4a | ninja-build | libgflags-dev | yasm,121,6.65,CWE-119 | CWE-399 | CWE-476 | CWE-189 | CWE-125 | CWE-191 | CWE-20 | CWE-908 | CWE-400 | CWE-415,
openssh,openssh/openssh-portable,https://github.com/openssh/openssh-portable,https://www.openssh.com/,c++,crypto | networking,133161,afl | honggfuzz | libfuzzer,,16,Yes,No,No,make,1,make | autoconf | automake | libtool | libz-dev | libssl1.1 | libssl-dev | libedit-dev | zip,120,6.18,CWE-310 | CWE-287 | CWE-193 | CWE-190 | CWE-203 | CWE-362 | CWE-22 | CWE-16 | CWE-255 | CWE-399,3742
poppler,,https://anongit.freedesktop.org/git/poppler/poppler.git,https://poppler.freedesktop.org/,c++,document-parsing,,afl | honggfuzz | libfuzzer,address | memory | undefined,0,Yes,Yes,No,,2,,115,6.21,CWE-189 | CWE-399 | CWE-190 | CWE-20 | CWE-94 | CWE-119 | CWE-476 | CWE-59 | CWE-772 | CWE-674,
compress,klauspost/compress,https://github.com/klauspost/compress,https://github.com/klauspost/compress,go,compression,61123,libfuzzer,address,0,Yes,Yes,No,,2,,114,6.02,CWE-22 | CWE-119 | CWE-189 | CWE-310 | CWE-426 | CWE-835 | CWE-834 | CWE-130 | CWE-770 | CWE-787,5435
radare2,radareorg/radare2,https://github.com/radareorg/radare2,https://github.com/radareorg/radare2,c++,system,653403,,address,1,Yes,Yes,No,make,2,pkg-config,111,5.64,CWE-476 | CWE-119 | CWE-125 | CWE-416 | CWE-787 | CWE-908 | CWE-415 | CWE-77 | CWE-78 | CWE-190,23264
envoy,envoyproxy/envoy,https://github.com/envoyproxy/envoy.git,https://www.envoyproxy.io/,c++,cloud-infra,1480056,libfuzzer | honggfuzz,undefined | address,0,Yes,Yes,Yes,make,2,,110,6.42,CWE-521 | CWE-79 | CWE-22 | CWE-312 | CWE-532 | CWE-522 | CWE-74 | CWE-706 | CWE-770 | CWE-400,27706
open5gs,open5gs/open5gs,https://github.com/open5gs/open5gs,https://open5gs.org,c,data-parsing | crypto | database | networking,1108449,libfuzzer | afl | honggfuzz,address | memory | undefined,6,Yes,Yes,No,,2,python3-pip | python3-setuptools | python3-wheel | ninja-build | build-essential | flex | bison | git | cmake | meson | libsctp-dev | libgnutls28-dev | libgcrypt-dev | libssl-dev | libidn11-dev | libmongoc-dev | libbson-dev | libmicrohttpd-dev | libcurl4-gnutls-dev | libnghttp2-dev | libtins-dev | libtalloc-dev | iproute2 | ca-certificates | netbase | pkg-config | autoconf | libtool-bin,109,5.74,CWE-287 | CWE-306 | CWE-120 | CWE-1284 | CWE-787 | CWE-476 | CWE-676 | CWE-404 | CWE-401 | CWE-770,2495
v8,,https://chromium.googlesource.com/v8/v8,https://chromium.googlesource.com/v8/v8,c++,web-runtime,,none,address,0,Yes,Yes,No,,2,lsb-release | pkg-config | file | libc++-18-dev | libc++abi-18-dev,107,7.39,CWE-264 | CWE-119 | CWE-20 | CWE-399 | CWE-189 | CWE-200 | CWE-254 | CWE-327 | CWE-287 | CWE-863,
libxml2,,https://gitlab.gnome.org/GNOME/libxml2.git,https://gitlab.gnome.org/GNOME/libxml2,c++,compression | data-parsing,,libfuzzer | honggfuzz | afl,address | memory | undefined,0,Yes,Yes,No,,2,make | autoconf | libtool | pkg-config | zlib1g-dev | liblzma-dev,106,6.44,CWE-776 | CWE-119 | CWE-399 | CWE-416 | CWE-415 | CWE-189 | CWE-264 | CWE-122 | CWE-674 | CWE-20,
argo,,https://github.com/argoproj,https://argoproj.github.io/,go,cloud-infra,,libfuzzer,address,0,Yes,Yes,No,,2,zip,105,6.52,CWE-59 | CWE-203 | CWE-22 | CWE-835 | CWE-384 | CWE-307 | CWE-287 | CWE-1188 | CWE-200 | CWE-352,
distribution,distribution/distribution,https://github.com/distribution/distribution,https://github.com/distribution/distribution,go,cloud-infra,32506,libfuzzer,address,0,Yes,Yes,No,,2,,99,6.52,CWE-255 | CWE-59 | CWE-119 | CWE-89 | CWE-200 | CWE-79 | CWE-20 | CWE-264 | CWE-399 | CWE-611,10323
jerryscript,jerryscript-project/jerryscript,https://github.com/jerryscript-project/jerryscript,https://jerryscript.net,c,web-runtime,184942,libfuzzer | afl | honggfuzz,address | undefined | memory,0,No,Yes,No,,0,,97,6.42,CWE-476 | CWE-119 | CWE-125 | CWE-787 | CWE-617 | CWE-400 | CWE-754 | CWE-416 | CWE-770 | CWE-120,7381
opensc,OpenSC/OpenSC,https://github.com/OpenSC/OpenSC,https://github.com/OpenSC/OpenSC/,c++,crypto | compression,164213,afl | honggfuzz | libfuzzer,,0,Yes,No,No,make,1,pcscd | libccid | libpcsclite-dev | libssl-dev | libreadline-dev | autoconf | automake | build-essential | docbook-xsl | xsltproc | libtool | pkg-config | zlib1g-dev | help2man | gengetopt,96,6.21,CWE-310 | CWE-264 | CWE-312 | CWE-119 | CWE-200 | CWE-79 | CWE-78 | CWE-89 | CWE-331 | CWE-93,2994
